task_id,split,family,protocol,spec_id,expected_action,input_smiles,has_witness,has_proof,num_hard_constraints,num_soft_preferences,budget,corpus_source,invariance_group_id,boundary_case_type
sgchem_v0.3__boundary_precision__spec_v1_basic__00001,train,boundary_precision,L3,spec_v1_basic,ACCEPT,NC(=O)c1cnc(Cl)cc1C(N)=O,True,False,3,2,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_alert_soft_train__00001,train,boundary_precision,L3,spec_v2_alert_soft_train,ACCEPT,NC(=O)c1cc(C(N)=O)cc(C(N)=O)c1,True,False,3,3,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_alert_soft_train__00002,train,boundary_precision,L2,spec_v2_alert_soft_train,ACCEPT,NC(=O)c1cccc(C(N)=O)c1C(N)=O,True,False,3,3,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_alert_soft_train__00003,train,boundary_precision,L3,spec_v2_alert_soft_train,ACCEPT,NC(=O)c1ccc(C(N)=O)c(C(N)=O)c1,True,False,3,3,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,logP:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_alert_soft_train__00004,train,boundary_precision,L2,spec_v2_alert_soft_train,ACCEPT,Fc1ccncc1,True,False,3,3,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_alert_strict_dev__00001,dev,boundary_precision,L3,spec_v2_alert_strict_dev,ACCEPT,CC(N)CCCl,True,False,6,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.02
sgchem_v0.3__boundary_precision__spec_v2_alert_strict_dev__00002,dev,boundary_precision,L2,spec_v2_alert_strict_dev,ACCEPT,Nc1ccccc1F,True,False,6,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,ROTB:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_alert_strict_dev__00003,dev,boundary_precision,L3,spec_v2_alert_strict_dev,ACCEPT,NC(=O)c1cncc(C(N)=O)c1C(N)=O,True,False,6,1,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.05
sgchem_v0.3__boundary_precision__spec_v2_alert_strict_dev__00004,dev,boundary_precision,L2,spec_v2_alert_strict_dev,ACCEPT,CCOc1cccc(F)c1N,True,False,6,1,max_steps=3;max_proposals=3;max_verify_calls=0;max_total_verifier_calls=3;max_edit_cost=None,corpus/corpus.parquet,,HBD:lower:distance=0.0
sgchem_v0.3__boundary_precision__spec_v2_amide_friendly_dev__00001,dev,boundary_precision,L3,spec_v2_amide_friendly_dev,ACCEPT,NC(=O)c1cccc(C(N)=O)c1C(N)=O,True,False,3,2,max_steps=4;max_proposals=4;max_verify_calls=4;max_total_verifier_calls=8;max_edit_cost=None,corpus/corpus.parquet,,HBA:lower:distance=0.0
