system,provider,adapter,model_id,access_model,protocol,cache_mode,temperature,top_p,max_tokens,n_tasks,action_accuracy,balanced_action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,accept_recall,reject_recall,abstain_recall,schema_error_rate,hard_violation_rate,mean_verify_calls,estimated_cost_usd
always_accept,deterministic,always_accept,always_accept,closed-book,mixed,offline,,,,10,0.6,0.40476190476190477,0.6,0.3333333333333333,0.7142857142857143,0.5,0.0,0.0,0.4,0.0,
always_abstain,deterministic,always_abstain,always_abstain,closed-book,mixed,offline,,,,10,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,
heuristic,deterministic,heuristic,heuristic,closed-book,mixed,offline,,,,10,0.5,0.47619047619047616,0.3,0.0,0.42857142857142855,1.0,0.0,0.0,0.6666666666666666,0.0,
abstention_guard,deterministic,abstention_guard,abstention_guard,closed-book,mixed,offline,,,,10,0.5,0.35714285714285715,0.5,0.3333333333333333,0.5714285714285714,0.5,0.0,0.0,0.4444444444444444,0.0,
local_mutation,deterministic,local_mutation,local_mutation,closed-book,mixed,offline,,,,10,0.6,0.2857142857142857,0.8,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.2,0.0,
verify_first,deterministic,verify_first,verify_first,public-verifier,mixed,offline,,,,10,0.6,0.2857142857142857,0.8,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.2,0.4,
corpus_search,deterministic,corpus_search,corpus_search,retrieval,mixed,offline,,,,10,0.7,0.3333333333333333,0.9,0.6666666666666666,1.0,0.0,0.0,0.0,0.1,0.0,
well_engineered_wrapper,deterministic,well_engineered_wrapper,well_engineered_wrapper,verifier/search wrapper,mixed,offline,,,,10,1.0,1.0,0.7,0.0,1.0,1.0,1.0,0.0,0.2222222222222222,0.4,
openai_strong_strict-tool-call_closed,openai,openai_chat,gpt-5.1,external diagnostic,mixed,replay,,,,10,1.0,1.0,0.7,0.0,1.0,1.0,1.0,0.0,0.2222222222222222,0.2,
openai_strong_strict-tool-call_verify_l3,openai,openai_chat_verify_l3,gpt-5.1,external diagnostic,mixed,replay,,,,10,0.7,0.8571428571428571,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.5555555555555556,0.6,
anthropic_fast_strict-tool-call_closed,anthropic,anthropic_chat,claude-haiku-4-5-20251001,external diagnostic,mixed,replay,0.0,,512,10,0.6,0.8095238095238095,0.3,0.0,0.42857142857142855,1.0,1.0,0.0,0.6666666666666666,0.7,
anthropic_fast_strict-tool-call_verify_l3,anthropic,anthropic_chat_verify_l3,claude-haiku-4-5-20251001,external diagnostic,mixed,replay,0.0,,512,10,0.6,0.8095238095238095,0.3,0.0,0.42857142857142855,1.0,1.0,0.0,0.6666666666666666,0.7,
anthropic_strong_strict-tool-call_closed,anthropic,anthropic_chat,claude-sonnet-4-20250514,external diagnostic,mixed,replay,0.0,,512,10,0.7,0.8571428571428571,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.5,0.5,
anthropic_strong_strict-tool-call_verify_l3,anthropic,anthropic_chat_verify_l3,claude-sonnet-4-20250514,external diagnostic,mixed,replay,0.0,,512,10,0.7,0.8571428571428571,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.5,0.5,
deepseek_fast_strict-tool-call_closed,deepseek,deepseek_chat,deepseek-chat,external diagnostic,mixed,replay,0.0,1.0,1024,10,0.7,0.8571428571428571,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.5,0.5,
deepseek_fast_strict-tool-call_verify_l3,deepseek,deepseek_chat_verify_l3,deepseek-chat,external diagnostic,mixed,replay,0.0,1.0,1024,10,0.7,0.8571428571428571,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.5555555555555556,0.7,
