system,provider,action_accuracy,molecule_acceptance_rate,reject_recall,abstain_recall,task_inconsistent_accept_rate
always_accept,deterministic,0.6,0.6,0.5,0.0,0.3333333333333333
always_abstain,deterministic,0.1,0.0,0.0,1.0,0.0
heuristic,deterministic,0.5,0.3,1.0,0.0,0.0
abstention_guard,deterministic,0.5,0.5,0.5,0.0,0.3333333333333333
local_mutation,deterministic,0.6,0.8,0.0,0.0,0.6666666666666666
verify_first,deterministic,0.6,0.8,0.0,0.0,0.6666666666666666
corpus_search,deterministic,0.7,0.9,0.0,0.0,0.6666666666666666
well_engineered_wrapper,deterministic,1.0,0.7,1.0,1.0,0.0
openai_strong_strict-tool-call_closed,openai,1.0,0.7,1.0,1.0,0.0
openai_strong_strict-tool-call_verify_l3,openai,0.7,0.4,1.0,1.0,0.0
anthropic_fast_strict-tool-call_closed,anthropic,0.6,0.3,1.0,1.0,0.0
anthropic_fast_strict-tool-call_verify_l3,anthropic,0.6,0.3,1.0,1.0,0.0
anthropic_strong_strict-tool-call_closed,anthropic,0.7,0.4,1.0,1.0,0.0
anthropic_strong_strict-tool-call_verify_l3,anthropic,0.7,0.4,1.0,1.0,0.0
deepseek_fast_strict-tool-call_closed,deepseek,0.7,0.4,1.0,1.0,0.0
deepseek_fast_strict-tool-call_verify_l3,deepseek,0.7,0.4,1.0,1.0,0.0
