system,provider,adapter,model_id,access_model,protocol,cache_mode,temperature,top_p,max_tokens,n_tasks,action_accuracy,balanced_action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,accept_recall,reject_recall,abstain_recall,schema_error_rate,hard_violation_rate,mean_verify_calls,estimated_cost_usd
always_accept,deterministic,always_accept,always_accept,closed-book,mixed,offline,,,,80,0.65,0.30687830687830686,0.7375,0.47058823529411764,0.8095238095238095,0.1111111111111111,0.0,0.0,0.2625,0.0,
always_abstain,deterministic,always_abstain,always_abstain,closed-book,mixed,offline,,,,80,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,
heuristic,deterministic,heuristic,heuristic,closed-book,mixed,offline,,,,80,0.4875,0.49206349206349204,0.375,0.0,0.47619047619047616,1.0,0.0,0.0,0.5833333333333334,0.0,
abstention_guard,deterministic,abstention_guard,abstention_guard,closed-book,mixed,offline,,,,80,0.6125,0.3544973544973545,0.65,0.35294117647058826,0.7301587301587301,0.3333333333333333,0.0,0.0,0.2777777777777778,0.0,
local_mutation,deterministic,local_mutation,local_mutation,closed-book,mixed,offline,,,,80,0.7375,0.31216931216931215,0.85,0.5294117647058824,0.9365079365079365,0.0,0.0,0.0,0.15,0.0,
verify_first,deterministic,verify_first,verify_first,public-verifier,mixed,offline,,,,80,0.7375,0.31216931216931215,0.85,0.5294117647058824,0.9365079365079365,0.0,0.0,0.0,0.15,0.4375,
corpus_search,deterministic,corpus_search,corpus_search,retrieval,mixed,offline,,,,80,0.7875,0.3333333333333333,0.9,0.5294117647058824,1.0,0.0,0.0,0.0,0.1,0.0,
well_engineered_wrapper,deterministic,well_engineered_wrapper,well_engineered_wrapper,verifier/search wrapper,mixed,offline,,,,80,1.0,1.0,0.7875,0.0,1.0,1.0,1.0,0.0,0.125,0.4,
openai_strong_strict-tool-call_closed,openai,openai_chat,gpt-5.1,external diagnostic,mixed,replay,,,,80,0.8375,0.9312169312169312,0.625,0.0,0.7936507936507936,1.0,1.0,0.0,0.2537313432835821,0.275,
openai_strong_strict-tool-call_verify_l3,openai,openai_chat_verify_l3,gpt-5.1,external diagnostic,mixed,replay,,,,80,0.7375,0.8888888888888888,0.525,0.0,0.6666666666666666,1.0,1.0,0.0,0.4166666666666667,0.7875,
anthropic_fast_strict-tool-call_closed,anthropic,anthropic_chat,claude-haiku-4-5-20251001,external diagnostic,mixed,replay,0.0,,512,80,0.675,0.8624338624338624,0.4625,0.0,0.5873015873015873,1.0,1.0,0.0,0.4861111111111111,0.7375,
anthropic_fast_strict-tool-call_verify_l3,anthropic,anthropic_chat_verify_l3,claude-haiku-4-5-20251001,external diagnostic,mixed,replay,0.0,,512,80,0.625,0.8412698412698413,0.4125,0.0,0.5238095238095238,1.0,1.0,0.0,0.5416666666666666,0.8125,
anthropic_strong_strict-tool-call_closed,anthropic,anthropic_chat,claude-sonnet-4-20250514,external diagnostic,mixed,replay,0.0,,512,80,0.7875,0.91005291005291,0.575,0.0,0.7301587301587301,1.0,1.0,0.0,0.25806451612903225,0.6,
anthropic_strong_strict-tool-call_verify_l3,anthropic,anthropic_chat_verify_l3,claude-sonnet-4-20250514,external diagnostic,mixed,replay,0.0,,512,80,0.6375,0.8465608465608465,0.425,0.0,0.5396825396825397,1.0,1.0,0.0,0.45161290322580644,0.6125,
deepseek_fast_strict-tool-call_closed,deepseek,deepseek_chat,deepseek-chat,external diagnostic,mixed,replay,0.0,1.0,1024,80,0.7625,0.8994708994708994,0.55,0.0,0.6984126984126984,1.0,1.0,0.0,0.3230769230769231,0.5875,
deepseek_fast_strict-tool-call_verify_l3,deepseek,deepseek_chat_verify_l3,deepseek-chat,external diagnostic,mixed,replay,0.0,1.0,1024,80,0.5625,0.8148148148148148,0.35,0.0,0.4444444444444444,1.0,1.0,0.0,0.5757575757575758,0.9125,
