baseline,track,invariance_subfamily,failure_rate,n_tasks,n_failures
heuristic,closed_book,aromatic,0.0,8,0
heuristic,closed_book,charge,0.5,6,3
heuristic,closed_book,stereo,0.0,8,0
heuristic,closed_book,tautomer,0.5,8,4
abstention_guard,closed_book,aromatic,0.0,8,0
abstention_guard,closed_book,charge,0.5,6,3
abstention_guard,closed_book,stereo,0.0,8,0
abstention_guard,closed_book,tautomer,0.5,8,4
verify_first,closed_book,aromatic,0.0,8,0
verify_first,closed_book,charge,0.5,6,3
verify_first,closed_book,stereo,0.0,8,0
verify_first,closed_book,tautomer,0.5,8,4
local_mutation,closed_book,aromatic,0.0,8,0
local_mutation,closed_book,charge,0.5,6,3
local_mutation,closed_book,stereo,0.0,8,0
local_mutation,closed_book,tautomer,0.5,8,4
corpus_search,retrieval,aromatic,0.0,8,0
corpus_search,retrieval,charge,0.0,6,0
corpus_search,retrieval,stereo,0.0,8,0
corpus_search,retrieval,tautomer,0.0,8,0
