objective_metric,rank,system,access_model,value
action_accuracy,1,well_engineered_wrapper,verifier/search wrapper,1.0
action_accuracy,2,corpus_search,retrieval,0.6729323308270677
action_accuracy,3,local_mutation,closed-book,0.650375939849624
action_accuracy,4,verify_first,public-verifier,0.650375939849624
action_accuracy,5,verifier_guided_greedy,public-verifier,0.6390977443609023
action_accuracy,6,abstention_guard,closed-book,0.6127819548872181
action_accuracy,7,heuristic,closed-book,0.6015037593984962
action_accuracy,8,open_source_example,closed-book,0.6015037593984962
action_accuracy,9,always_accept,closed-book,0.5639097744360902
action_accuracy,10,schema_valid_dummy,closed-book,0.5639097744360902
action_accuracy,11,random_action,closed-book,0.30451127819548873
action_accuracy,12,always_reject,closed-book,0.19548872180451127
action_accuracy,13,always_abstain,closed-book,0.13157894736842105
balanced_action_accuracy,1,well_engineered_wrapper,verifier/search wrapper,1.0
balanced_action_accuracy,2,heuristic,closed-book,0.5344506517690876
balanced_action_accuracy,3,open_source_example,closed-book,0.5344506517690876
balanced_action_accuracy,4,verifier_guided_greedy,public-verifier,0.3984386191090102
balanced_action_accuracy,5,abstention_guard,closed-book,0.38085517834121185
balanced_action_accuracy,6,random_action,closed-book,0.36365133934966337
balanced_action_accuracy,7,always_reject,closed-book,0.3333333333333333
balanced_action_accuracy,8,always_abstain,closed-book,0.3333333333333333
balanced_action_accuracy,9,corpus_search,retrieval,0.3333333333333333
balanced_action_accuracy,10,local_mutation,closed-book,0.3221601489757914
balanced_action_accuracy,11,verify_first,public-verifier,0.3221601489757914
balanced_action_accuracy,12,always_accept,closed-book,0.3111660220598768
balanced_action_accuracy,13,schema_valid_dummy,closed-book,0.3111660220598768
molecule_acceptance_rate,1,corpus_search,retrieval,0.868421052631579
molecule_acceptance_rate,2,local_mutation,closed-book,0.8458646616541353
molecule_acceptance_rate,3,verify_first,public-verifier,0.8458646616541353
molecule_acceptance_rate,4,always_accept,closed-book,0.706766917293233
molecule_acceptance_rate,5,schema_valid_dummy,closed-book,0.706766917293233
molecule_acceptance_rate,6,verifier_guided_greedy,public-verifier,0.6992481203007519
molecule_acceptance_rate,7,abstention_guard,closed-book,0.6804511278195489
molecule_acceptance_rate,8,well_engineered_wrapper,verifier/search wrapper,0.6729323308270677
molecule_acceptance_rate,9,heuristic,closed-book,0.40601503759398494
molecule_acceptance_rate,10,open_source_example,closed-book,0.40601503759398494
molecule_acceptance_rate,11,random_action,closed-book,0.14661654135338345
molecule_acceptance_rate,12,always_reject,closed-book,0.0
molecule_acceptance_rate,13,always_abstain,closed-book,0.0
task_inconsistent_accept_rate,1,always_reject,closed-book,0.0
task_inconsistent_accept_rate,2,always_abstain,closed-book,0.0
task_inconsistent_accept_rate,3,random_action,closed-book,0.0
task_inconsistent_accept_rate,4,heuristic,closed-book,0.0
task_inconsistent_accept_rate,5,open_source_example,closed-book,0.0
task_inconsistent_accept_rate,6,well_engineered_wrapper,verifier/search wrapper,0.0
task_inconsistent_accept_rate,7,verifier_guided_greedy,public-verifier,0.39080459770114945
task_inconsistent_accept_rate,8,abstention_guard,closed-book,0.40229885057471265
task_inconsistent_accept_rate,9,always_accept,closed-book,0.5172413793103449
task_inconsistent_accept_rate,10,schema_valid_dummy,closed-book,0.5172413793103449
task_inconsistent_accept_rate,11,local_mutation,closed-book,0.5977011494252874
task_inconsistent_accept_rate,12,verify_first,public-verifier,0.5977011494252874
task_inconsistent_accept_rate,13,corpus_search,retrieval,0.5977011494252874
reject_recall,1,always_reject,closed-book,1.0
reject_recall,2,heuristic,closed-book,1.0
reject_recall,3,open_source_example,closed-book,1.0
reject_recall,4,well_engineered_wrapper,verifier/search wrapper,1.0
reject_recall,5,random_action,closed-book,0.6730769230769231
reject_recall,6,verifier_guided_greedy,public-verifier,0.34615384615384615
reject_recall,7,abstention_guard,closed-book,0.3269230769230769
reject_recall,8,always_accept,closed-book,0.1346153846153846
reject_recall,9,schema_valid_dummy,closed-book,0.1346153846153846
reject_recall,10,always_abstain,closed-book,0.0
reject_recall,11,local_mutation,closed-book,0.0
reject_recall,12,verify_first,public-verifier,0.0
reject_recall,13,corpus_search,retrieval,0.0
abstain_recall,1,always_abstain,closed-book,1.0
abstain_recall,2,well_engineered_wrapper,verifier/search wrapper,1.0
abstain_recall,3,random_action,closed-book,0.2
abstain_recall,4,always_accept,closed-book,0.0
abstain_recall,5,always_reject,closed-book,0.0
abstain_recall,6,schema_valid_dummy,closed-book,0.0
abstain_recall,7,heuristic,closed-book,0.0
abstain_recall,8,abstention_guard,closed-book,0.0
abstain_recall,9,open_source_example,closed-book,0.0
abstain_recall,10,local_mutation,closed-book,0.0
abstain_recall,11,verify_first,public-verifier,0.0
abstain_recall,12,verifier_guided_greedy,public-verifier,0.0
abstain_recall,13,corpus_search,retrieval,0.0
hard_violation_rate,1,corpus_search,retrieval,0.13157894736842105
hard_violation_rate,2,local_mutation,closed-book,0.15413533834586465
hard_violation_rate,3,verify_first,public-verifier,0.15413533834586465
hard_violation_rate,4,well_engineered_wrapper,verifier/search wrapper,0.22510822510822512
hard_violation_rate,5,abstention_guard,closed-book,0.2901960784313726
hard_violation_rate,6,always_accept,closed-book,0.2932330827067669
hard_violation_rate,7,schema_valid_dummy,closed-book,0.2932330827067669
