baseline,model,track,protocol,num_tasks,pass_at_1,pass_at_1_ci95,pass_at_3,pass_at_3_ci95,accept_rate,hard_violation_rate,hard_violation_rate_ci95,abstention_utility,abstention_utility_ci95,avg_steps_to_accept,avg_verify_calls_used,l3_avg_verify_calls_used,l3_avg_verify_calls_used_expected_accept,verify_usage_rate_on_L3,avg_final_edit_cost_brics,invariance_failure_rate,boundary_precision_failure_rate,resume_success_rate,avg_extra_steps_after_interrupt,brier_score,ece
always_accept,always_accept,primary_closed_book,mixed,244,0.8395061728395061,"0.840 [0.780, 0.892]",0.8395061728395061,"0.840 [0.778, 0.887]",0.7172131147540983,0.2827868852459016,"0.283 [0.225, 0.340]",-478.0,"-478.000 [-586.000, -379.000]",1,0,0,0,0.0,2.1569767441860463,0.1,0.1,0.0,0.4,0.23622950819672123,0.18278688524590536
always_reject,always_reject,primary_closed_book,mixed,244,0.0,"0.000 [0.000, 0.000]",0.0,"0.000 [0.000, 0.000]",0.0,1.0,"1.000 [1.000, 1.000]",-360.0,"-360.000 [-383.000, -337.000]",,0,0,0,0.0,0.0,1.0,1.0,0.0,2.0,0.002499999999999992,0.050000000000000155
always_abstain,always_abstain,primary_closed_book,mixed,244,0.0,"0.000 [0.000, 0.000]",,,0.0,0.0,"0.000 [0.000, 0.000]",-208.0,"-208.000 [-219.000, -198.000]",,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.009999999999999967,0.10000000000000031
random_action,random_action,primary_closed_book,mixed,244,0.17901234567901234,"0.179 [0.125, 0.237]",0.17901234567901234,"0.179 [0.113, 0.248]",0.11885245901639344,0.8323699421965318,"0.832 [0.773, 0.886]",-267.0,"-267.000 [-292.000, -241.000]",1,0,0,0,0.0,0,0.6,0.85,0.0,1.6,0.11823770491803247,0.20122950819672128
schema_valid_dummy,schema_valid_dummy,primary_closed_book,mixed,244,0.8395061728395061,"0.840 [0.780, 0.892]",0.8395061728395061,"0.840 [0.778, 0.887]",0.7172131147540983,0.2827868852459016,"0.283 [0.225, 0.340]",-478.0,"-478.000 [-586.000, -379.000]",1,0,0,0,0.0,2.1569767441860463,0.1,0.1,0.0,0.4,0.25,0.21721311475409832
heuristic,heuristic,primary_closed_book,mixed,244,0.5925925925925926,"0.593 [0.521, 0.667]",0.5925925925925926,"0.593 [0.513, 0.677]",0.39344262295081966,0.5897435897435898,"0.590 [0.526, 0.650]",-158.0,"-158.000 [-186.000, -138.000]",1,0,0,0,0.0,0,0.0,0.5,0.0,0.0,0.3328688524590162,0.363114754098361
abstention_guard,abstention_guard,primary_closed_book,mixed,244,0.5740740740740741,"0.574 [0.497, 0.648]",0.8950617283950617,"0.895 [0.845, 0.940]",0.7172131147540983,0.25213675213675213,"0.252 [0.198, 0.308]",-360.0,"-360.000 [-460.000, -257.000]",1.3862068965517242,0,0,0,0.0,3.9753086419753085,0.0,0.05,0.0,0.0,0.25239754098360706,0.23893442622950903
local_mutation_or_repair,local_mutation,primary_closed_book,mixed,244,1.0,"1.000 [1.000, 1.000]",,,0.8524590163934426,0.14754098360655737,"0.148 [0.107, 0.189]",-496.0,"-496.000 [-610.000, -379.000]",1,0,0,0,0.0,2.4011627906976742,0.0,0.0,1.0,0.0,0.1362704918032787,0.10245901639344257
verify_first,verify_first,tool_enabled,mixed,244,0.6049382716049383,"0.605 [0.522, 0.682]",,,0.8524590163934426,0.14754098360655737,"0.148 [0.107, 0.189]",-496.0,"-496.000 [-610.000, -379.000]",1.3950617283950617,0.3114754098360656,1,1,1.0,2.4011627906976742,0.0,0.0,1.0,1.0,0.4096416903246777,0.437914812572091
verifier_guided_greedy,verifier_guided_greedy,tool_enabled,mixed,244,0.4567901234567901,"0.457 [0.376, 0.537]",0.8950617283950617,"0.895 [0.843, 0.940]",0.7131147540983607,0.28688524590163933,"0.287 [0.234, 0.348]",-360.0,"-360.000 [-462.000, -260.000]",1.4896551724137932,0.3114754098360656,1,1,1.0,1.2093023255813953,0.0,0.05,0.0,1.2,0.2164754098360659,0.10409836065573837
corpus_retrieval_upper_bound,corpus_search,retrieval_upper_bound,mixed,244,1.0,"1.000 [1.000, 1.000]",,,0.8524590163934426,0.14754098360655737,"0.148 [0.107, 0.189]",-496.0,"-496.000 [-610.000, -379.000]",1,0,0,0,0.0,1.9825581395348837,0.0,0.0,1.0,0.0,0.12577868852459065,0.002459016393446145
