split,access_model,adapter,protocol,n_tasks,action_accuracy,balanced_action_accuracy,accept_precision,accept_recall,reject_precision,reject_recall,abstain_precision,abstain_recall,molecule_acceptance_rate,task_inconsistent_accept_rate,false_abstain_rate,hard_violation_rate,schema_error_rate,invalid_action_rate,invalid_molecule_rate,invalid_tool_call_rate,pass_at_1,pass_at_3,mean_steps,mean_proposals,mean_verify_calls,p95_verify_calls,budget_exhaustion_rate
dev,closed-book,always_accept,mixed,130,0.5153846153846153,0.33364602876798,0.759493670886076,0.7317073170731707,0.13725490196078433,0.2692307692307692,,0.0,0.6076923076923076,0.3958333333333333,0.0,0.3923076923076923,0.0,0.0,0.0,0.0,0.7317073170731707,0.7317073170731707,1.3153846153846154,1.3,0,0,0.3923076923076923
dev,closed-book,always_reject,mixed,130,0.2,0.3333333333333333,,0.0,0.2,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9153846153846154,0.0,0.0,0.0,2.3461538461538463,2.2615384615384615,0,0,1.0
dev,closed-book,always_abstain,mixed,130,0.16923076923076924,0.3333333333333333,,0.0,,0.0,0.16923076923076924,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
dev,closed-book,random_action,mixed,130,0.33076923076923076,0.3726476775257263,1.0,0.2682926829268293,0.22727272727272727,0.5769230769230769,0.14285714285714285,0.2727272727272727,0.16923076923076924,0.0,0.3048780487804878,0.75,0.0,0.0,0.26153846153846155,0.0,0.2682926829268293,0.2682926829268293,1.6538461538461537,1.2692307692307692,0,0,0.5076923076923077
dev,closed-book,schema_valid_dummy,mixed,130,0.5153846153846153,0.33364602876798,0.759493670886076,0.7317073170731707,0.13725490196078433,0.2692307692307692,,0.0,0.6076923076923076,0.3958333333333333,0.0,0.3923076923076923,0.0,0.0,0.0,0.0,0.7317073170731707,0.7317073170731707,1.3153846153846154,1.3,0,0,0.3923076923076923
dev,closed-book,heuristic,mixed,130,0.6307692307692307,0.5609756097560976,1.0,0.6829268292682927,0.38235294117647056,1.0,0.0,0.0,0.4307692307692308,0.0,0.07317073170731707,0.5483870967741935,0.0,0.0,0.0,0.0,0.6829268292682927,0.6829268292682927,1.623076923076923,1.5384615384615385,0,0,0.5230769230769231
dev,closed-book,abstention_guard,mixed,130,0.6076923076923076,0.4262038774233896,0.8271604938271605,0.8170731707317073,0.27906976744186046,0.46153846153846156,0.0,0.0,0.6230769230769231,0.2916666666666667,0.07317073170731707,0.3467741935483871,0.0,0.0,0.0,0.0,0.6341463414634146,0.8170731707317073,1.3384615384615384,1.2923076923076924,0,0,0.33076923076923076
dev,closed-book,open_source_example,mixed,130,0.6307692307692307,0.5609756097560976,1.0,0.6829268292682927,0.38235294117647056,1.0,0.0,0.0,0.4307692307692308,0.0,0.07317073170731707,0.5483870967741935,0.0,0.0,0.0,0.0,0.5121951219512195,0.6829268292682927,1.7307692307692308,1.4230769230769231,0.26153846153846155,1,0.5230769230769231
dev,closed-book,local_mutation,mixed,130,0.6,0.3170731707317073,0.75,0.9512195121951219,0.0,0.0,,0.0,0.8,0.5416666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.9512195121951219,0.9512195121951219,1.0615384615384615,1.0615384615384615,0,0,0.2
dev,public-verifier,verify_first,mixed,130,0.6,0.3170731707317073,0.75,0.9512195121951219,0.0,0.0,,0.0,0.8,0.5416666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.5975609756097561,0.9512195121951219,1.353846153846154,1.0461538461538462,0.3076923076923077,1,0.2
dev,public-verifier,verifier_guided_greedy,mixed,130,0.6846153846153846,0.50187617260788,0.8795180722891566,0.8902439024390244,0.3404255319148936,0.6153846153846154,,0.0,0.6384615384615384,0.20833333333333334,0.0,0.36153846153846153,0.0,0.0,0.0,0.0,0.5121951219512195,0.8902439024390244,1.5461538461538462,1.2384615384615385,0.3076923076923077,1,0.36153846153846153
dev,retrieval,corpus_search,mixed,130,0.6307692307692307,0.3333333333333333,0.7592592592592593,1.0,0.0,0.0,,0.0,0.8307692307692308,0.5416666666666666,0.0,0.16923076923076924,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0,0.16923076923076924
dev,verifier/search wrapper,well_engineered_wrapper,mixed,130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6307692307692307,0.0,0.0,0.24074074074074073,0.0,0.0,0.0,0.0,0.6951219512195121,1.0,1.5076923076923077,1.0769230769230769,0.26153846153846155,1,0.2
train,closed-book,always_accept,mixed,260,0.5615384615384615,0.33057324840764335,0.7216494845360825,0.89171974522293,0.09090909090909091,0.1,,0.0,0.7461538461538462,0.5242718446601942,0.0,0.25384615384615383,0.0,0.0,0.0,0.0,0.89171974522293,0.89171974522293,1.1692307692307693,1.1615384615384616,0,0,0.25384615384615383
train,closed-book,always_reject,mixed,260,0.23076923076923078,0.3333333333333333,,0.0,0.23076923076923078,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9307692307692308,0.0,0.0,0.0,2.3923076923076922,2.3230769230769233,0,0,1.0
train,closed-book,always_abstain,mixed,260,0.16538461538461538,0.3333333333333333,,0.0,,0.0,0.16538461538461538,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
train,closed-book,random_action,mixed,260,0.36923076923076925,0.4020745897727086,1.0,0.2802547770700637,0.2925170068027211,0.7166666666666667,0.13043478260869565,0.20930232558139536,0.16923076923076924,0.0,0.27388535031847133,0.7696335078534031,0.0,0.0,0.33076923076923076,0.0,0.2802547770700637,0.2802547770700637,1.7807692307692307,1.4615384615384615,0,0,0.5653846153846154
train,closed-book,schema_valid_dummy,mixed,260,0.5615384615384615,0.33057324840764335,0.7216494845360825,0.89171974522293,0.09090909090909091,0.1,,0.0,0.7461538461538462,0.5242718446601942,0.0,0.25384615384615383,0.0,0.0,0.0,0.0,0.89171974522293,0.89171974522293,1.1692307692307693,1.1615384615384616,0,0,0.25384615384615383
train,closed-book,heuristic,mixed,260,0.6884615384615385,0.5859872611464968,1.0,0.7579617834394905,0.4580152671755725,1.0,0.0,0.0,0.4576923076923077,0.0,0.06369426751592357,0.524,0.0,0.0,0.0,0.0,0.7579617834394905,0.7579617834394905,1.6384615384615384,1.5692307692307692,0,0,0.5038461538461538
train,closed-book,abstention_guard,mixed,260,0.6115384615384616,0.39249823071479123,0.7647058823529411,0.910828025477707,0.25396825396825395,0.26666666666666666,0.0,0.0,0.7192307692307692,0.42718446601941745,0.06369426751592357,0.252,0.0,0.0,0.0,0.0,0.7579617834394905,0.910828025477707,1.2961538461538462,1.2576923076923077,0,0,0.2423076923076923
train,closed-book,open_source_example,mixed,260,0.6884615384615385,0.5859872611464968,1.0,0.7579617834394905,0.4580152671755725,1.0,0.0,0.0,0.4576923076923077,0.0,0.06369426751592357,0.524,0.0,0.0,0.0,0.0,0.554140127388535,0.7579617834394905,1.7615384615384615,1.476923076923077,0.24615384615384617,1,0.5038461538461538
train,closed-book,local_mutation,mixed,260,0.5846153846153846,0.3227176220806794,0.7169811320754716,0.9681528662420382,0.0,0.0,,0.0,0.8153846153846154,0.5825242718446602,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.9681528662420382,0.9681528662420382,1.0423076923076924,1.0423076923076924,0,0,0.18461538461538463
train,public-verifier,verify_first,mixed,260,0.5846153846153846,0.3227176220806794,0.7169811320754716,0.9681528662420382,0.0,0.0,,0.0,0.8153846153846154,0.5825242718446602,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.6178343949044586,0.9681528662420382,1.3153846153846154,1.0307692307692307,0.2846153846153846,1,0.18461538461538463
train,public-verifier,verifier_guided_greedy,mixed,260,0.6384615384615384,0.4210898796886058,0.7849462365591398,0.9299363057324841,0.2702702702702703,0.3333333333333333,,0.0,0.7153846153846154,0.3883495145631068,0.0,0.2846153846153846,0.0,0.0,0.0,0.0,0.554140127388535,0.9299363057324841,1.5115384615384615,1.226923076923077,0.2846153846153846,1,0.2846153846153846
train,retrieval,corpus_search,mixed,260,0.6038461538461538,0.3333333333333333,0.7235023041474654,1.0,0.0,0.0,,0.0,0.8346153846153846,0.5825242718446602,0.0,0.16538461538461538,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0,0.16538461538461538
train,verifier/search wrapper,well_engineered_wrapper,mixed,260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6038461538461538,0.0,0.0,0.2764976958525346,0.0,0.0,0.0,0.0,0.7452229299363057,1.0,1.5538461538461539,1.1730769230769231,0.2153846153846154,1,0.23076923076923078
test,closed-book,abstention_guard,mixed,266,0.6127819548872181,0.38085517834121185,0.8066298342541437,0.8156424581005587,0.22972972972972974,0.3269230769230769,0.0,0.0,0.6804511278195489,0.40229885057471265,0.061452513966480445,0.2901960784313726,0.0,0.0,0.0,0.0,0.5810055865921788,0.8156424581005587,1.5225563909774436,1.4774436090225564,0,0,0.2781954887218045
test,closed-book,always_abstain,mixed,266,0.13157894736842105,0.3333333333333333,,0.0,,0.0,0.13157894736842105,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
test,closed-book,always_accept,mixed,266,0.5639097744360902,0.3111660220598768,0.7606382978723404,0.7988826815642458,0.08974358974358974,0.1346153846153846,,0.0,0.706766917293233,0.5172413793103449,0.0,0.2932330827067669,0.0,0.0,0.0,0.0,0.7988826815642458,0.7988826815642458,1.3345864661654134,1.3195488721804511,0,0,0.2932330827067669
test,closed-book,always_reject,mixed,266,0.19548872180451127,0.3333333333333333,,0.0,0.19548872180451127,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9097744360902256,0.0,0.0,0.0,2.4962406015037595,2.406015037593985,0,0,1.0
test,retrieval,corpus_search,mixed,266,0.6729323308270677,0.3333333333333333,0.7748917748917749,1.0,0.0,0.0,,0.0,0.868421052631579,0.5977011494252874,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0,0.13157894736842105
